epoch,train_loss,train_accuracy
1,0.6918614808198861,0.6991191469633751
2,0.6726333175370911,0.6620305980528511
3,0.5705508968042012,0.71256374594344
4,0.472635419309609,0.7575336114974501
5,0.44667523798148945,0.7723690310616597
6,0.41292694423781207,0.7969401947148818
7,0.4105815450986005,0.7936949466852109
8,0.4009830795701699,0.8159480760315253
9,0.4019068459227619,0.8066759388038943
10,0.4201972194440839,0.7964765878535003
11,0.4235581914804907,0.7872044506258693
12,0.39221537114571353,0.8062123319425127
13,0.39010601468974926,0.8201205377839592
14,0.3845332838978323,0.8150208623087621
15,0.3684150905840144,0.8372739916550765
16,0.3652728884016744,0.8372739916550765
17,0.36410399493543316,0.8391284191006027
18,0.361161922007509,0.8395920259619842
19,0.3614686110061686,0.8363467779323134
20,0.3585087117161749,0.8382012053778396
21,0.3457639231884098,0.8437644877144181
22,0.3418589627571442,0.8516458043579045
23,0.34937310211902756,0.8465461288827074
24,0.3526845074219454,0.8382012053778396
25,0.34929414548750104,0.8535002318034307
26,0.35767451200874306,0.8525730180806675
27,0.3229930365201661,0.8660176170607325
28,0.324765788663246,0.8613815484469171
29,0.3426170958984103,0.847009735744089
30,0.349141801403914,0.8488641631896152
31,0.32388399773496246,0.8641631896152063
32,0.32413263481471294,0.8613815484469171
33,0.32969935027658803,0.8613815484469171
34,0.32270461345746887,0.8674084376448772
35,0.31492179703342177,0.8738989337042188
36,0.3326275202207782,0.8636995827538247
37,0.33870866043621817,0.8521094112192861
38,0.3238200002458287,0.8697264719517849
39,0.3249418252753504,0.8613815484469171
40,0.3176609464939623,0.8636995827538247
41,0.3272439371008645,0.866481223922114
42,0.31547505395745146,0.8766805748725082
43,0.31780433961512816,0.8706536856745479
44,0.3056563571074742,0.875753361149745
45,0.30949881815860597,0.8725081131200741
46,0.303327950742657,0.8827074640704683
47,0.30536778346498533,0.8803894297635605
48,0.3063359315687161,0.8738989337042188
49,0.3039333763695117,0.8803894297635605
50,0.3154315020013419,0.8678720445062587
