epoch,train_loss,train_accuracy
1,1.098109438953214,0.29299953639313864
2,1.0777486894879011,0.4459898006490496
3,1.000652516833267,0.44506258692628653
4,0.9347229586412468,0.4904960593416783
5,0.9160910967217588,0.4993045897079277
6,0.8917248464592309,0.4575799721835883
7,0.8737608099016925,0.4775150672229949
8,0.8549420562506717,0.5234121464997682
9,0.8422356246796592,0.5002318034306907
10,0.8416228895945631,0.5442744552619379
11,0.8461104679505583,0.5062586926286509
12,0.833757572860479,0.5489105238757533
13,0.8152368955441962,0.5818266110338433
14,0.8223698996093796,0.5516921650440426
15,0.8046915832635811,0.5433472415391748
16,0.816441690280695,0.5813630041724618
17,0.7916236690309902,0.5169216504404265
18,0.7986806129547087,0.5067222994900324
19,0.8098128448220165,0.5132127955493742
20,0.8295032608879348,0.5183124710245711
21,0.7935782134615827,0.5581826611033843
22,0.8165308031761707,0.5155308298562818
23,0.7909423610818126,0.5155308298562818
24,0.7825526259925888,0.5567918405192397
25,0.7856243683830919,0.5776541492814093
26,0.7887000390429932,0.4918868799258229
27,0.7865212088278946,0.5507649513212796
28,0.7751944713643374,0.5674547983310153
29,0.7811585425722638,0.5424200278164116
30,0.7758803973885449,0.5600370885489105
31,0.7794563462184876,0.5929531757070005
32,0.7739751453912529,0.5303662494204914
33,0.7715826335194269,0.5910987482614742
34,0.7732265933166791,0.5011590171534539
35,0.7577515090014794,0.6342141863699583
36,0.7622533903721034,0.5855354659248957
37,0.7749258378450662,0.555401019935095
38,0.7631616285403238,0.5734816875289754
39,0.7525458959279704,0.5623551228558182
40,0.7773373034136352,0.5628187297171998
41,0.7767656410132838,0.5846082522021326
42,0.7642578783828902,0.6096430227167362
43,0.7665115328756924,0.5859990727862773
44,0.756650867482054,0.5679184051923969
45,0.7595136474004541,0.5864626796476587
46,0.7583766698726748,0.6022253129346314
47,0.754976113084626,0.6499768196569309
48,0.7697879234341819,0.5475197032916087
49,0.7721879276678857,0.5999072786277236
50,0.762276691560343,0.5961984237366713
