subject,segment_index,source_label,target_label,window_start_seconds,window_end_seconds,mean_hr,std_hr,min_hr,max_hr,mean_ibi,std_ibi,min_ibi,max_ibi,rmssd,sdnn,nn50,pnn50,num_peaks,peak_density,mean_peak_amp,std_peak_amp,mean_signal,std_signal,min_signal,max_signal,range_signal,rms_signal,skewness,kurtosis
S2,1,baseline,non-stress,310.0,370.0,100.61477488643105,42.371577214499666,35.88785046728972,213.33333333333334,0.6978539156626506,0.2720776438525708,0.28125,1.671875,0.3377428623142276,0.2720776438525708,69.0,0.8414634146341463,84.0,1.4,1.6508108377456665,1.5157924890518188,-0.0007766566704958677,1.4484831094741821,-5.515722751617432,6.542037487030029,12.057760238647461,1.4484832286834717,0.21495097875595093,2.945122718811035
S2,2,baseline,non-stress,315.0,375.0,97.86553251510232,42.43871432433424,22.06896551724138,213.33333333333334,0.7316743827160493,0.34330946557130276,0.28125,2.71875,0.39187300637451417,0.34330946557130276,65.0,0.8125,82.0,1.3666666666666667,1.655935287475586,1.5377053022384644,-0.00039981704321689904,1.4438687562942505,-5.515722751617432,6.542037487030029,12.057760238647461,1.4438687562942505,0.21617409586906433,3.0188279151916504
S2,3,baseline,non-stress,320.0,380.0,98.06319379284592,42.055744653871734,22.06896551724138,213.33333333333334,0.7253086419753086,0.3351086998227906,0.28125,2.71875,0.3788095881858886,0.3351086998227906,61.0,0.7625,82.0,1.3666666666666667,1.6432369947433472,1.5440824031829834,-0.00017857538477983326,1.439856767654419,-5.515722751617432,6.542037487030029,12.057760238647461,1.4398568868637085,0.21651983261108398,3.082730770111084
S2,4,baseline,non-stress,325.0,385.0,96.39253023899212,42.984195850164056,22.06896551724138,213.33333333333334,0.7455078125,0.3471264726650826,0.28125,2.71875,0.38790190086084353,0.3471264726650826,58.0,0.7341772151898734,81.0,1.35,1.5811409950256348,1.5172641277313232,0.008143074810504913,1.3943690061569214,-5.515722751617432,6.542037487030029,12.057760238647461,1.3943926095962524,0.20914700627326965,3.560171604156494
S2,5,baseline,non-stress,330.0,390.0,91.91182463513321,39.87174723893869,22.06896551724138,213.33333333333334,0.7727272727272727,0.34874566382776123,0.28125,2.71875,0.39468287048791334,0.34874566382776123,57.0,0.75,78.0,1.3,1.5107412338256836,1.5027896165847778,-0.0007282530423253775,1.3248802423477173,-5.515722751617432,6.542037487030029,12.057760238647461,1.3248804807662964,0.25045379996299744,4.2906084060668945
S2,6,baseline,non-stress,335.0,395.0,94.05367634430908,38.84392007641846,33.10344827586207,213.33333333333334,0.7286585365853658,0.25183340911894153,0.28125,1.8125,0.2952205769305552,0.25183340911894153,60.0,0.7407407407407407,83.0,1.3833333333333333,1.203020691871643,1.1833962202072144,0.001554559450596571,1.168928861618042,-5.515722751617432,5.930937767028809,11.446660995483398,1.168929934501648,-0.17609471082687378,4.5631256103515625
S2,7,baseline,non-stress,340.0,400.0,94.42015417069983,40.51536265352672,35.88785046728972,225.88235294117646,0.7258003048780488,0.2398515696844404,0.265625,1.671875,0.27813562020228305,0.2398515696844404,57.0,0.7037037037037037,83.0,1.3833333333333333,0.9987176060676575,0.9993224143981934,0.002753013279289007,1.0308189392089844,-5.515722751617432,4.931944847106934,10.447668075561523,1.0308226346969604,-0.48005497455596924,5.593475341796875
S2,8,baseline,non-stress,345.0,405.0,97.91365089972345,47.97537725331574,35.88785046728972,240.0,0.7235137195121951,0.26020850575209564,0.25,1.671875,0.354353844873374,0.26020850575209564,57.0,0.7037037037037037,83.0,1.3833333333333333,0.9325934648513794,0.9568979144096375,-0.005266301799565554,0.9445708990097046,-4.588414192199707,4.931944847106934,9.52035903930664,0.9445855617523193,-0.2819327414035797,6.108470916748047
S2,9,baseline,non-stress,350.0,410.0,100.5168840772133,49.71209756604469,35.88785046728972,240.0,0.708019578313253,0.2590594015372192,0.25,1.671875,0.38007083492150096,0.2590594015372192,63.0,0.7682926829268293,84.0,1.4,0.8530606627464294,0.868299663066864,-0.0015079120639711618,0.8514083623886108,-4.588414192199707,4.931944847106934,9.52035903930664,0.8514096736907959,-0.37676969170570374,6.6752824783325195
S2,10,baseline,non-stress,355.0,415.0,103.54074761126621,53.587037106427736,35.88785046728972,240.0,0.6998161764705882,0.26633333450622393,0.25,1.671875,0.38782478468513515,0.26633333450622393,65.0,0.7738095238095238,86.0,1.4333333333333333,0.7588801980018616,0.8331753611564636,-0.00031998255872167647,0.7929896712303162,-4.588414192199707,4.931944847106934,9.52035903930664,0.7929897308349609,-0.3135276138782501,8.412436485290527
S2,11,baseline,non-stress,360.0,420.0,109.63248684849783,58.488368315624726,45.714285714285715,240.0,0.6725852272727273,0.2591103383738694,0.25,1.3125,0.36457691907329653,0.2591103383738694,68.0,0.7816091954022989,89.0,1.4833333333333334,0.5959211587905884,0.5809181928634644,0.0014212204841896892,0.6045138835906982,-4.173725605010986,2.680097818374634,6.853823661804199,0.604515552520752,-0.8946899771690369,9.607220649719238
S2,12,baseline,non-stress,365.0,425.0,111.31497971012747,58.05929901795187,45.714285714285715,240.0,0.6612847222222222,0.2587637939343751,0.25,1.3125,0.36362442448998683,0.2587637939343751,69.0,0.7752808988764045,91.0,1.5166666666666666,0.6066452860832214,0.5963666439056396,-0.004833472892642021,0.5822351574897766,-3.7700064182281494,2.680097818374634,6.450104236602783,0.5822551846504211,-0.21268199384212494,6.980075836181641
