fold,left_out_subject,epoch,train_loss,train_accuracy
1,S2,1,0.6844017522164844,0.5346430450798105
1,S2,2,0.6552143476862925,0.5830556042799508
1,S2,3,0.6302947732068597,0.6807577617961761
1,S2,4,0.5810494613300351,0.7216277845991931
1,S2,5,0.5201745082403229,0.73829152780214
1,S2,6,0.47160219872777787,0.7761796176109454
1,S2,7,0.43477207180743177,0.7910892825820032
1,S2,8,0.41509292424613814,0.8003858972110156
1,S2,9,0.3802868346491732,0.8217856516400631
1,S2,10,0.36755286535867954,0.8300298193299421
2,S3,1,0.6834751347369327,0.3257243195785777
2,S3,2,0.6528080696071628,0.5878841088674276
2,S3,3,0.6143847707282879,0.7044776119402985
2,S3,4,0.58040706354657,0.733099209833187
2,S3,5,0.5329051418509579,0.7548726953467955
2,S3,6,0.48447637016884165,0.7706760316066725
2,S3,7,0.4502049788296275,0.7880597014925373
2,S3,8,0.4185657085244126,0.8035118525021949
2,S3,9,0.41386521471708465,0.8168568920105356
2,S3,10,0.3888576016183272,0.8210711150131694
3,S4,1,0.6903412311505048,0.3103266596417281
3,S4,2,0.6665326585927092,0.5384615384615384
3,S4,3,0.6363053798968641,0.6845802599227256
3,S4,4,0.5985362780776659,0.7107481559536354
3,S4,5,0.5356701126967893,0.7395504039339655
3,S4,6,0.48591389055623896,0.7704601334738321
3,S4,7,0.44607994126821343,0.7848612574639972
3,S4,8,0.4187663001556919,0.8045310853530031
3,S4,9,0.4095923140629325,0.8148928696873903
3,S4,10,0.3946265338553351,0.8178784685634001
4,S5,1,0.6911469528852152,0.4364660330869412
4,S5,2,0.6772750743633003,0.5005279831045406
4,S5,3,0.6452130023252373,0.6510031678986272
4,S5,4,0.5958757409324364,0.6964097148891235
4,S5,5,0.528543568725361,0.7286166842661035
4,S5,6,0.4852714701904792,0.7597676874340021
4,S5,7,0.44713878494171727,0.7785990848292854
4,S5,8,0.43704924279012886,0.7842309046110525
4,S5,9,0.41413977030967586,0.799190425906371
4,S5,10,0.38874936701755464,0.8130939809926082
5,S6,1,0.6849485490886502,0.5263805838902568
5,S6,2,0.6589392135774758,0.6005979599015124
5,S6,3,0.6363062522925418,0.6763981709461836
5,S6,4,0.6126813478047186,0.7099894477664439
5,S6,5,0.5597723696460785,0.735138937741822
5,S6,6,0.49952078660189414,0.7536053464650018
5,S6,7,0.43843282366612407,0.7944073162152656
5,S6,8,0.4107085074646306,0.803904326415758
5,S6,9,0.3871834845430533,0.8202602884277173
5,S6,10,0.3944585854701915,0.8172704889201547
6,S7,1,0.693989252392219,0.345876560576754
6,S7,2,0.6691406246478432,0.5681378582732548
6,S7,3,0.6384606789113013,0.6815544223668015
6,S7,4,0.5918591727538836,0.6949182345700721
6,S7,5,0.5194636961792063,0.7360647089854053
6,S7,6,0.49983656427364304,0.7464392474063654
6,S7,7,0.4413483471637328,0.7805521364515562
6,S7,8,0.4190629305121809,0.7895199577984878
6,S7,9,0.4058441089183559,0.8067522419553367
6,S7,10,0.38289687518015336,0.8188851767188324
7,S8,1,0.6838227422366588,0.546622097114708
7,S8,2,0.6631688924845803,0.6001055594651654
7,S8,3,0.6501741332121922,0.673469387755102
7,S8,4,0.6378959512140112,0.6805066854327938
7,S8,5,0.5970798651992562,0.7149894440534834
7,S8,6,0.5524932246741738,0.7102392681210415
7,S8,7,0.49797293688527805,0.7570372976776918
7,S8,8,0.448406029594859,0.7881773399014779
7,S8,9,0.4035824512319612,0.8084095707248417
7,S8,10,0.3894181837924847,0.8214285714285714
8,S9,1,0.6886019265404311,0.46201195919803023
8,S9,2,0.6629510630908836,0.5867041857193106
8,S9,3,0.6369411186395377,0.6744635947942315
8,S9,4,0.603727299060949,0.7212451635596201
8,S9,5,0.5299701576622028,0.7446359479423145
8,S9,6,0.45550499468087896,0.7761167780513542
8,S9,7,0.43621136152195,0.7854379176925783
8,S9,8,0.4132746703348821,0.797397115722828
8,S9,9,0.39064395968611293,0.8102356665494196
8,S9,10,0.37124248881009614,0.8225466056982061
9,S10,1,0.6861397798488935,0.4254981484746958
9,S10,2,0.6550579865212962,0.5968964909187092
9,S10,3,0.6336741991783866,0.7104567095750308
9,S10,4,0.6176635715102123,0.7123964027508376
9,S10,5,0.5965117188888217,0.729677305589843
9,S10,6,0.550890890531619,0.7515429377534826
9,S10,7,0.4948739195139062,0.7737612414036326
9,S10,8,0.4568571502927791,0.7808146711338388
9,S10,9,0.42514436171601805,0.7968612237700582
9,S10,10,0.40148162360944734,0.8104390760007053
10,S11,1,0.6788827365552875,0.3609154929577465
10,S11,2,0.6397621033896863,0.6411971830985915
10,S11,3,0.6151205042718162,0.7052816901408451
10,S11,4,0.599287729364046,0.722887323943662
10,S11,5,0.5831427993908734,0.7297535211267606
10,S11,6,0.5427512241920954,0.7489436619718309
10,S11,7,0.504874049777716,0.7484154929577465
10,S11,8,0.4727972579673982,0.7702464788732394
10,S11,9,0.45543212689144513,0.780281690140845
10,S11,10,0.4315822614750392,0.7852112676056338
11,S13,1,0.6901039000213031,0.6317549727160711
11,S13,2,0.6707937229563077,0.5324766766414364
