subject,segment_index,label_id,label_name,window_start_sample,window_end_sample,window_start_seconds,window_end_seconds,mean,std,min,max,median,range,energy,rms,skewness,kurtosis
S2,1,1,baseline,19620,20899,306.562,326.562,1.5733125962550822,68.82909748349482,-261.57797884235845,340.14819625192536,1.675248315516432,601.7261750942838,6067097.565334998,68.84707672020626,0.0432196102864487,3.1703586105291635
S2,1,1,baseline,20260,21539,316.562,336.562,-1.1786396126258432,123.2607572874905,-341.9833810340576,429.94571913840133,-2.26583597387338,771.9291001724589,19449092.452380285,123.2663923314952,0.569828820238418,1.791372798338501
S2,1,1,baseline,20900,22179,326.562,346.562,0.042161070113739464,135.51056108394783,-399.37487881970657,429.94571913840133,2.4905308413256364,829.3205979581079,23504785.846838,135.5105676426831,0.2811123154428897,0.8845700130668788
S2,1,1,baseline,21540,22819,336.562,356.562,0.601332897604664,100.55128483730739,-399.37487881970657,327.64883543115667,7.084026124055146,727.0237142508632,12941980.779119443,100.55308291488166,-0.27946085535819026,1.9644709127906683
S2,1,1,baseline,22180,23459,346.562,366.562,-0.6938920386415186,95.47654263161539,-313.5057389549676,332.22701995787196,6.432103025773567,645.7327589128396,11668802.149181392,95.4790640876206,-0.18158312575626917,2.3501093284136143
S2,1,1,baseline,22820,24099,356.562,376.562,0.2586214583495491,72.02886498553836,-313.5057389549676,332.22701995787196,5.184571256798115,645.7327589128396,6640927.07348945,72.02932927747996,-0.34608666384555775,6.272574606202419
S2,1,1,baseline,23460,24739,366.562,386.562,0.09590423823098089,29.55367042665067,-77.64059826704998,198.2538626188673,2.695743972291102,275.8944608859173,1117988.6506367964,29.553826035049966,1.8661761361151072,10.886643931368946
S2,1,1,baseline,24100,25379,376.562,396.562,-0.2813017595844141,51.28620678768828,-265.58032035485337,198.2538626188673,1.8014176437493998,463.83418297372066,3366853.295807321,51.28697824350221,-0.26447857314536566,6.06595663730592
S2,1,1,baseline,24740,26019,386.562,406.562,-0.17398004702750725,53.2404382831281,-265.58032035485337,173.03113407910092,2.796201512141404,438.6114544339543,3628255.408174511,53.24072254990851,-0.6627835635044488,4.8288280791976685
S2,1,1,baseline,25380,26659,396.562,416.562,0.053877911098260525,33.273272296085416,-177.10564314336412,137.37181631323367,2.8433850241405043,314.4774594565978,1417105.3467119995,33.27331591709413,-0.41117423299673267,5.85792200509702
S2,1,1,baseline,26020,27299,406.562,426.562,-0.6148287697331523,46.217066007976456,-154.9915690298704,191.0643886985829,2.2339264239940446,346.0559577284533,2734585.8621462327,46.22115538151058,0.4748806658185861,4.122781646171364
S2,1,1,baseline,26660,27939,416.562,436.562,0.006436510355917235,47.2257999944264,-154.9915690298704,191.0643886985829,2.275461329031078,346.0559577284533,2854753.5699740555,47.22580043304963,0.4853726843093746,3.695523875934126
S2,1,1,baseline,27300,28579,426.562,446.562,0.8900898883736467,19.850440544173683,-56.1142454204918,104.33253458796952,3.8941013638449378,160.4467800084613,505385.2797531641,19.87038625208779,0.7857980509974102,3.9207551000072085
S2,1,1,baseline,27940,29219,436.562,456.562,0.17308445760752922,16.88741627791851,-35.72231502383657,30.44060999927213,4.0797037762797626,66.1629250231087,365074.92706966057,16.888303253233353,-0.30002346320414736,-1.0651631963588657
S2,1,1,baseline,28580,29859,446.562,466.562,0.27948092762305576,62.82283283816195,-361.0066037763161,224.8479006448694,4.676630604000949,585.8545044211855,5051886.637312698,62.82345450069222,-1.9256214533912428,12.587644884033981
S2,1,1,baseline,29220,30499,456.562,476.562,0.24121554968753794,80.94930112434702,-361.0066037763161,309.6306140707329,2.6161715507518615,670.637217847049,8387644.847950874,80.94966051480154,-0.9817149760233091,5.886295269960497
S2,1,1,baseline,29860,31139,466.562,486.562,-0.6252498813083687,122.05411312639303,-618.4916489301164,340.9579357808605,1.0297912786794141,959.449584710977,19068924.759660065,122.05571460806097,-0.9066850853157759,3.778932780127029
S2,1,1,baseline,30500,31779,476.562,496.562,-0.35660049892256623,120.3585804170884,-618.4916489301164,340.9579357808605,5.268049530113949,959.449584710977,18542483.25623369,120.3591086870145,-0.8798885323799294,3.8529013327025172
S2,1,1,baseline,31140,32419,486.562,506.562,0.20096423565169955,63.89656746051076,-217.93831725878897,263.16986912571616,4.849612864894959,481.10818638450513,5225999.001420305,63.89688349097797,0.1182885743631719,2.9355203423015244
S2,1,1,baseline,31780,33059,496.562,516.562,0.4023750018701803,45.67549899857045,-217.93831725878897,166.1941490345766,4.335091978223172,384.1324662933656,2670608.786445491,45.67727131091064,-0.49356175277623915,3.8815619331272417
S2,1,1,baseline,32420,33699,506.562,526.562,0.10265588517702273,29.425954498729777,-147.5159996710907,124.53412144982003,3.16080401987054,272.0501211209107,1108348.5905818583,29.426133561718174,-0.14424424099400976,5.529506351683626
